Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-5
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-5
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-5
50,200,0,0,-5
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-5
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-7
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-7
50,200,0,0,-7
50,200,0,0,-7
50,200,0,0,-7
50,200,0,0,-7
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-7
50,200,0,0,-7
50,200,0,0,-7
50,200,0,0,-7
50,200,0,0,-7
50,200,0,0,-7
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-5
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,0,0,-6
50,200,10,0,-6
50,200,10,0,-6
50,200,10,0,11
50,200,10,0,25
50,200,10,0,30
50,200,10,0,31
50,200,10,0,31
50,200,10,0,32
50,200,10,0,31
50,200,10,0,32
50,200,10,0,30
50,200,10,0,16
50,200,10,0,12
50,200,10,0,9
50,200,10,0,7
50,200,10,0,6
50,200,10,0,6
50,200,10,0,6
50,200,10,0,6
50,200,20,0,6
50,200,20,0,7
50,200,20,0,7
50,200,20,0,7
50,200,20,0,7
50,200,20,0,8
50,200,20,0,7
50,200,20,0,7
50,200,20,0,9
50,200,20,0,8
50,200,20,0,8
50,200,20,0,8
50,200,20,0,7
50,200,20,0,8
50,200,20,0,14
50,200,20,0,20
50,200,20,0,22
50,200,20,0,22
50,200,20,0,24
50,200,30,0,22
50,200,30,0,22
50,200,30,0,23
50,200,30,0,23
50,200,30,0,23
50,200,30,0,23
50,200,30,0,23
50,200,30,0,24
50,200,30,0,23
50,200,30,0,22
50,200,30,0,22
50,200,30,0,22
50,200,30,0,23
50,200,30,0,22
50,200,30,0,22
50,200,30,0,22
50,200,30,0,23
50,200,30,0,23
50,200,30,0,23
50,200,0,0,22
50,200,0,0,21
50,200,0,0,22
50,200,0,0,22
50,200,0,0,22
50,200,0,0,22
50,200,0,0,18
50,200,0,0,-11
50,200,0,0,-44
50,200,0,0,-52
50,200,0,0,-54
50,200,0,0,-52
50,200,0,0,26
50,200,0,0,51
50,200,0,0,-21
50,200,0,0,-49
50,200,0,0,-58
50,200,0,0,-36
50,200,0,0,88
50,200,0,0,39
50,200,0,0,-29
50,200,0,0,-52
50,200,0,0,-59
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-62
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-63
50,200,0,0,-63
50,200,0,0,-62
50,200,0,0,-63
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-63
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-63
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
50,200,0,0,-62
